Id,Modularity Class
1,1
2,1
3,1
4,1
5,4
6,4
7,1
8,1
9,2
10,4
11,1
12,1
13,4
14,4
15,1
16,4
17,1
18,1
19,1
20,4
21,4
22,4
23,1
24,1
25,1
26,1
27,1
28,4
29,1
30,1
31,4
32,4
33,1
34,1
35,4
36,4
37,1
38,4
39,1
40,1
41,1
42,1
43,1
44,4
45,1
46,1
47,1
48,4
49,4
50,1
51,1
52,1
53,1
54,1
55,4
56,4
57,4
58,1
59,4
60,4
61,4
62,1
63,1
64,1
65,1
66,1
67,4
68,1
69,1
70,4
71,4
72,4
73,4
74,1
75,1
76,1
77,1
78,1
79,1
80,4
81,1
82,1
83,4
84,4
85,1
86,4
87,1
88,4
89,1
90,1
91,1
92,1
93,1
94,4
95,1
96,1
97,1
98,1
99,4
100,1
101,1
102,1
103,1
104,1
105,4
106,1
107,4
108,1
109,4
110,1
111,2
112,1
113,4
114,1
115,1
116,1
117,4
118,1
119,1
120,1
121,1
122,4
123,1
124,1
125,4
126,1
127,4
128,1
129,4
130,4
131,1
132,4
133,1
134,4
135,1
136,4
137,1
138,1
139,1
140,1
141,1
142,4
143,4
144,1
145,1
146,1
147,1
148,1
149,1
150,4
151,1
152,4
153,1
154,4
155,4
156,1
157,1
158,1
159,4
160,4
161,1
162,1
163,1
164,2
165,2
166,2
167,1
168,4
169,4
170,1
171,1
172,4
173,4
174,4
175,4
176,4
177,1
178,4
179,1
180,1
181,1
182,4
183,4
184,1
185,1
186,1
187,1
188,4
189,1
190,1
191,1
192,4
193,4
194,1
195,4
196,4
197,1
198,4
199,1
200,4
201,4
202,4
203,1
204,4
205,1
206,1
207,1
208,1
209,4
210,1
211,4
212,1
213,1
214,1
215,4
216,1
217,4
218,1
219,1
220,1
221,1
222,4
223,4
224,4
225,4
226,1
227,4
228,1
229,4
230,4
231,4
232,4
233,4
234,1
235,1
236,1
237,4
238,4
239,4
240,1
241,1
242,1
243,1
244,4
245,4
246,1
247,1
248,1
249,4
250,4
251,1
252,4
253,1
254,1
255,1
256,4
257,4
258,4
259,4
260,4
261,4
262,4
263,4
264,1
265,1
266,4
267,4
268,1
269,1
270,1
271,1
272,1
273,4
274,4
275,4
276,3
277,1
278,1
279,1
280,3
281,4
282,1
283,4
284,4
285,4
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,4
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,4
313,1
314,1
315,1
316,1
317,1
318,4
319,4
320,4
321,1
322,1
323,1
324,1
325,4
326,1
327,4
328,1
329,4
330,4
331,4
332,1
333,1
334,1
335,1
336,1
337,1
338,4
339,4
340,4
341,4
342,4
343,4
344,4
345,4
346,1
347,1
348,1
349,1
350,1
351,4
352,1
353,1
354,1
355,1
356,1
357,4
358,1
359,1
360,1
361,3
362,3
363,1
364,4
365,1
366,4
367,4
368,1
369,1
370,1
371,4
372,4
373,4
374,1
375,4
376,4
377,4
378,4
379,4
380,4
381,4
382,4
383,4
384,4
385,4
386,4
387,1
388,4
389,4
390,4
391,4
392,4
393,1
394,1
395,1
396,1
397,1
398,4
399,4
400,4
401,4
402,4
403,4
404,4
405,4
406,4
407,1
408,3
409,1
410,4
411,4
412,4
413,1
414,1
415,1
416,4
417,1
418,1
419,1
420,4
421,4
422,1
423,1
424,1
425,1
426,4
427,4
428,4
429,4
430,4
431,4
432,1
433,4
434,4
435,4
436,1
437,1
438,1
439,4
440,4
441,4
442,1
443,1
444,4
445,4
446,1
447,4
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,4
467,4
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,2
476,4
477,2
478,2
479,4
480,1
481,1
482,1
483,1
484,1
485,4
486,1
487,1
488,1
489,1
490,4
491,4
492,1
493,1
494,4
495,4
496,1
497,1
498,1
499,2
500,1
501,1
502,1
503,2
504,2
505,2
506,1
507,1
508,4
509,1
510,1
511,1
512,1
513,1
514,4
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,4
525,1
526,4
527,4
528,1
529,1
530,1
531,4
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,2
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,4
560,4
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,4
569,1
570,1
571,1
572,1
573,1
574,4
575,1
576,1
577,1
578,1
579,1
580,1
581,4
582,4
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,4
594,1
595,4
596,1
597,1
598,1
599,1
600,4
