Id,Modularity Class
1,2
2,1
3,4
4,10
5,4
6,1
7,12
8,12
9,10
10,4
11,8
12,3
13,1
14,3
15,1
16,11
17,5
18,3
19,7
20,5
21,12
22,12
23,11
24,8
25,2
26,3
27,5
28,8
29,7
30,7
31,3
32,1
33,2
34,3
35,7
36,3
37,2
38,3
39,1
40,4
41,10
42,3
43,3
44,9
45,2
46,4
47,1
48,9
49,4
50,8
51,12
52,4
53,4
54,3
55,7
56,5
57,9
58,4
59,5
60,1
61,3
62,5
63,5
64,1
65,5
66,9
67,4
68,12
69,8
70,5
71,3
72,4
73,4
74,4
75,9
76,5
77,12
78,12
79,7
80,7
81,4
82,7
83,4
84,4
85,3
86,9
87,5
88,4
89,6
90,8
91,9
92,9
93,11
94,7
95,5
96,5
97,4
98,4
99,3
100,1
101,7
102,4
103,2
104,11
105,2
106,1
107,4
108,12
109,2
110,4
111,12
112,9
113,5
114,4
115,11
