Id,Modularity Class
1,10
2,11
3,9
4,1
5,9
6,11
7,2
8,2
9,1
10,9
11,8
12,6
13,11
14,6
15,11
16,1
17,5
18,6
19,3
20,5
21,2
22,2
23,1
24,8
25,10
26,6
27,5
28,8
29,3
30,3
31,6
32,11
33,10
34,6
35,3
36,4
37,10
38,6
39,11
40,9
41,1
42,6
43,6
44,7
45,10
46,12
47,11
48,7
49,12
50,8
51,2
52,9
53,12
54,6
55,3
56,5
57,7
58,4
59,4
60,11
61,6
62,5
63,4
64,11
65,5
66,7
67,12
68,2
69,8
70,5
71,6
72,9
73,12
74,9
75,7
76,5
77,2
78,2
79,3
80,3
81,9
82,3
83,12
84,9
85,6
86,7
87,5
88,12
89,10
90,8
91,7
92,7
93,1
94,3
95,5
96,5
97,4
98,9
99,6
100,11
101,3
102,9
103,10
104,1
105,10
106,11
107,9
108,2
109,10
110,12
111,2
112,7
113,5
114,12
115,1
