Id,Modularity Class
1,4
2,5
3,10
4,11
5,10
6,5
7,1
8,1
9,11
10,10
11,9
12,2
13,5
14,2
15,5
16,11
17,8
18,2
19,7
20,8
21,1
22,1
23,11
24,9
25,4
26,2
27,8
28,9
29,7
30,7
31,2
32,5
33,4
34,2
35,7
36,3
37,4
38,2
39,5
40,10
41,11
42,2
43,2
44,6
45,4
46,12
47,5
48,6
49,12
50,9
51,1
52,10
53,12
54,2
55,7
56,8
57,6
58,3
59,3
60,5
61,2
62,8
63,3
64,5
65,8
66,6
67,12
68,1
69,9
70,8
71,2
72,10
73,12
74,10
75,6
76,8
77,1
78,1
79,7
80,7
81,10
82,7
83,12
84,10
85,2
86,6
87,8
88,12
89,4
90,9
91,6
92,6
93,11
94,7
95,8
96,8
97,3
98,10
99,2
100,5
101,7
102,10
103,4
104,11
105,4
106,5
107,10
108,1
109,4
110,12
111,1
112,6
113,8
114,12
115,11
